                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.2558,                0.84282,                 1.4685,                0.93298,                0.89292,                0.96268,                0.54729,                 1.5553,                0.70207,                 1.7908,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.2456,                0.90736,                 1.4468,                0.93044,                0.98812,                  0.995,                0.58961,                 1.5086,                0.64975,                 1.7513,             0.00031373,             0.00031373,             0.00031373
                     84,                  1.218,                0.90901,                  1.426,                 0.9824,                      1,                  0.995,                0.58466,                 1.5333,                0.63694,                 1.7812,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.1358,                0.83353,                 1.3942,                0.98481,                0.99365,                  0.995,                0.56474,                 1.5645,                0.65697,                  1.823,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.1363,                0.81809,                 1.3871,                0.98662,                0.99342,                  0.995,                0.59357,                  1.487,                0.63458,                 1.7686,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.2134,                0.93492,                 1.4638,                0.98189,                      1,                  0.995,                0.60041,                 1.4693,                0.60546,                 1.7633,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.2703,                0.85217,                 1.5002,                0.98061,                      1,                  0.995,                0.62287,                   1.41,                0.56582,                 1.7115,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.1629,                 0.8171,                 1.4548,                0.97955,                0.99497,                  0.995,                0.62517,                 1.3725,                0.56733,                 1.6702,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.1324,                0.82478,                 1.4351,                0.97478,                    0.9,                0.97833,                0.62281,                 1.3067,                0.57542,                  1.638,             0.00019821,             0.00019821,             0.00019821
                     91,                  1.204,                0.66441,                 1.6462,                0.96585,                    0.9,                0.97833,                0.61793,                 1.3341,                0.58981,                  1.657,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.1082,                 0.6055,                 1.5305,                0.92209,                0.88211,                0.96643,                0.59803,                 1.4272,                0.62961,                 1.7181,              0.0001652,              0.0001652,              0.0001652
                     93,                  1.101,                0.61922,                 1.5665,                0.97332,                0.96056,                  0.995,                 0.6258,                 1.4482,                0.62678,                 1.7287,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.1631,                0.61952,                 1.6413,                0.94916,                0.97226,                  0.995,                0.64699,                 1.3965,                0.61301,                 1.6978,             0.00013219,             0.00013219,             0.00013219
                     95,                  1.061,                0.59425,                 1.4927,                0.96392,                0.98376,                  0.995,                0.65509,                 1.3605,                0.58825,                 1.6734,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.0438,                0.56021,                 1.4878,                0.98214,                      1,                  0.995,                0.62596,                 1.3677,                0.57418,                 1.6819,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                   1.02,                0.61271,                 1.4684,                0.98205,                      1,                  0.995,                0.62719,                 1.3881,                0.56806,                 1.7041,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.1165,                0.56041,                 1.4944,                0.97764,                0.99573,                  0.995,                0.63782,                 1.4084,                0.57595,                 1.7241,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.1273,                0.63922,                 1.5317,                0.96872,                0.98903,                  0.995,                0.63159,                 1.3956,                0.57843,                  1.721,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.0217,                0.55835,                 1.4792,                0.98382,                    0.9,                0.96643,                 0.6283,                  1.377,                0.59343,                 1.7147,             3.3173e-05,             3.3173e-05,             3.3173e-05
